playerid,source_player_name
59184,Luca Cannata
59190,Jason Millett
59192,Benson Grande
59201,Jachym Prusek
59202,Hudson Lohse
59219,Jean-Samuel Daigneault
59222,Will Keane
59223,Alex Smyth
59248,Danick St-Pierre
53178,Blake Barnes
53243,Simon Wang
53269,Nicholas Desiderio
53270,Bexultan Makysh
53277,Landon Marleau
53287,Julian Demiglio
53288,Shaan Kingwell
53291,Ryder Cali
53296,Nolan Turnbull
53298,Noah Tegelaar
53391,Trenten Bennett
53416,Yanis Lutz
53491,Thomas Kuipers
53529,Jake Windbiel
53546,Anthony Figliomeni
53550,Andrew Willis
53554,Patrick Babin
53596,André Mondoux
53597,Brady Smith
53641,Michael Newlove
53647,Jacob Xu
53659,Evan Headrick
53863,Spencer Bowes
533,Brad Marchand
537,Dougie Hamilton
50534,Leith Hunter
53872,Hayden Barch
53940,Joey Brehmer
53952,Luka Gelinas
53981,Theo Avila
54516,Layne Gallacher
54546,James Paul
33010,Logan Renkowski
33169,Atte Vikla
33225,Theo Kiss
33376,Linards Feldbergs
34184,Ty Mason
35849,Adam Belusko
35979,Juho Keinanen
35983,Veeti Louhivaara
36088,Brady Arneson
36236,Cooper Conway
36441,Noah LaPointe
37010,Axel Löfgren
37159,William Samuelsson
37203,Viktor Eriksson
37306,Denis Hodas
37513,Adyn Merrick
37534,Dante Josefsson-Westling
37560,Noel Öhgren
37573,Melvin Ekman
54744,Ryder Fetterolf
31112,Alexander Matveyev
31289,Louis-Félix Charrois
37625,Nils Roberts Maurins
37662,Viktor Nörringer
37742,Elias Straume Vatne
541,Reilly Smith
544,David Pastrnak
550,Rasmus Ristolainen
552,Nicolas Deslauriers
566,Evander Kane
567,Zach Bogosian
569,Marcus Foligno
679,Jack Johnson
880,Radek Faksa
905,Jonny Brodzinski
915,Scott Sabourin
916,Nic Dowd
927,Vladislav Namestnikov
945,Shea Theodore
953,Keegan Kolesar
969,Lawson Crouse
971,Juho Lammikko
54869,Bodhi Ryan
29820,Emile Perron
55008,Declan Gallivan
55022,Candon O'Neill
55042,Calum Hartnell
55043,Kaiden Thatcher
55140,Luis Sturgeon
55259,Jaden Flora
2,Taylor Hall
6,Jordan Eberle
17,Leon Draisaitl
24,Ryan Nugent-Hopkins
55271,William Camputaro
55317,Cayden Smith
55322,Andrew Robinson
55352,Camron Hankai
55410,Finn Kearns
55440,Kayden Edwards
37860,Daniel Floryk
36079,Owen Keefe
38141,Caleb Heil
29832,Ethan Mittelsteadt
29836,Grayson Burzynski
39280,Brecken Smith
39281,Evan Sofikitis
39464,Geno Carcone
39486,Ty Tanton
39488,Ruben Westerling
39666,Brandt Dubey
39791,Kiernan Poulin
40045,Jason Davenport
40049,Jake Merens
42324,Frantisek Netusil
42356,Jakub Hes
43508,Cameron Springer
43542,Kason Muscutt
43688,Kolin Sisson
43689,Matej Teply
43701,Ryan Rucinski
43929,Vladimir Nikitin
43961,Drew Della Salla
44293,Miles Burgin
44298,Owen Crudale
44449,Aatu Karvinen
44759,Brock Schultz
44778,Jack Brauti
45327,Bjorn Bronas
45840,Max Anderson
45997,Christian Lyons
46023,Richard Zemlicka
29840,Tyler Parr
29844,Matteo Fabrizi
36220,Zach Pelletier
1043,Ryan McDonagh
1050,Cam Talbot
39984,Jordan Forget
39993,Jasu Mensonen
40016,Torkel Jennersjö
40035,Miroslav Satan
40256,Félix Plamondon
40269,Matt Gosselin
40786,Renaud Poulin
41119,Justin Robinson
41202,Samuel Beauchemin
41499,Antoine Fontaine
41619,Maxime-Olivier Drolet
42169,Nishaan Parmar
42297,Andreas Straka
1,Jeff Petry
29538,Jack Willson
32486,Caden Lee
46143,Lucas Prud'Homme
46160,Charlie Kresl
46170,Michael Sandruck
46172,Henry Major
46176,Samuel Doyon-Cataquiz
46223,Toby Carlson
46248,Luke Janviriya
46316,Julien Wasmer
46320,Evan Jardine
46325,Griffin Brown
46357,Layne Loomer
46376,Ronan Buckberger
46403,Lenny Boos
46470,Ajay White
46507,Ryan Seelinger
46510,Malachi McKinnon
46574,Jesse Orlowsky
46659,Ivan Bercik
46665,Samuel Murin
55637,Kalib Capecci
55799,Luc Plante
46669,Jakeb Lynch
46685,Mason Peapenburg
46686,Carter Murphy
46690,Matous Kucharcik
46728,Cullen McCrate
46768,Ethan Drabicki
46769,Travis Lefere
47025,Cooper Faughnan
47032,Cal Huston
47105,Brady Krey
47198,Alex Calbeck
47368,Nicholas Kosiba
29,Curtis Lazar
55868,Greg Najda
55909,Jackson Schouten
55920,Jacob Reese
56062,Jonah McCormick
56070,Avry Anstis
56325,Brock Chitaroni
56359,Jonathan Brown
56367,Judd Knauft
56372,Grady Spicer
56562,Mason Courville
56783,Jack Pollock
56845,Porter Byrd-Leitner
56927,Ulysses Lombardi
56944,Cody Wood
57017,Brayden Lappalainen
57021,Eamon Edgar
57022,Jaakko Wycisk
47495,Vojtech Hambalek
47538,Owen Boucher
47718,Vladislav Bryzgalov
47843,Jackson Rudh
47844,Ryder Betzold
47856,Henry Lechner
47893,Danny Klaers
47904,Zach Wooten
47926,Ashton Schultz
382,Mikael Granlund
390,Jared Spurgeon
398,Nino Niederreiter
402,Jason Zucker
405,Charlie Coyle
409,Jonathan Toews
575,Zemgus Girgensons
610,Nazem Kadri
615,James Reimer
617,James van Riemsdyk
47984,Andrew O'Sullivan
47986,Colton Whitfield
48248,Josh Polak
48268,Bode Laylin
48302,Wyatt Sypniewski
48304,Jackson Ernst
48350,Cameron Caron
48359,William Tomko
48360,Owen Chartier
48466,Samuel Hybsky
48482,Harijs Cjunskis
48507,Alan Lendak
688,Nick Foligno
692,Sergei Bobrovsky
696,Boone Jenner
888,Jean-Gabriel Pageau
899,Kevin Gravel
901,Colin Miller
989,Jansen Harkins
