sim,team,conference,gp,wins,losses,ot_losses,points,goals_for,goals_against,goal_differential,playoffs,second_round,third_round,final,champion
1,OTT,East,82,54,28,6,114,288,220,68,1,1,1,1,1
1,NYI,East,82,50,32,7,107,279,229,50,1,0,0,0,0
1,COL,West,82,50,32,4,104,303,237,66,1,0,0,0,0
1,SJS,West,82,48,34,8,104,260,240,20,1,0,0,0,0
1,TBL,East,82,46,36,7,99,272,241,31,1,1,0,0,0
1,MIN,West,82,45,37,8,98,289,252,37,1,0,0,0,0
1,WSH,East,82,45,37,8,98,256,227,29,1,1,1,0,0
1,PHI,East,82,45,37,6,96,269,258,11,1,0,0,0,0
1,CAR,East,82,45,37,5,95,248,241,7,1,0,0,0,0
1,NSH,West,82,44,38,7,95,257,253,4,1,0,0,0,0
1,BOS,East,82,44,38,6,94,250,250,0,1,1,0,0,0
1,LAK,West,82,42,40,9,93,254,234,20,1,1,1,1,0
1,TOR,East,82,42,40,9,93,254,256,-2,1,0,0,0,0
1,NYR,East,82,43,39,5,91,270,257,13,0,0,0,0,0
1,SEA,West,82,43,39,5,91,236,241,-5,1,1,1,0,0
1,EDM,West,82,43,39,4,90,282,259,23,1,1,0,0,0
1,DAL,West,82,43,39,3,89,266,271,-5,1,1,0,0,0
1,PIT,East,82,42,40,4,88,260,282,-22,0,0,0,0,0
1,NJD,East,82,41,41,6,88,265,253,12,0,0,0,0,0
1,CBJ,East,82,40,42,8,88,251,263,-12,0,0,0,0,0
1,STL,West,82,42,40,3,87,267,258,9,0,0,0,0,0
1,WPG,West,82,39,43,9,87,245,247,-2,0,0,0,0,0
1,VGK,West,82,41,41,4,86,253,245,8,0,0,0,0,0
1,BUF,East,82,39,43,6,84,261,269,-8,0,0,0,0,0
1,FLA,East,82,38,44,7,83,250,273,-23,0,0,0,0,0
1,CGY,West,82,37,45,9,83,233,255,-22,0,0,0,0,0
1,ANA,West,82,32,50,12,76,232,258,-26,0,0,0,0,0
1,UTA,West,82,35,47,4,74,241,289,-48,0,0,0,0,0
1,DET,East,82,33,49,4,70,207,264,-57,0,0,0,0,0
1,MTL,East,82,32,50,6,70,246,280,-34,0,0,0,0,0
1,CHI,West,82,26,56,13,65,198,268,-70,0,0,0,0,0
1,VAN,West,82,23,59,8,54,181,253,-72,0,0,0,0,0
2,EDM,West,82,51,31,4,106,283,235,48,1,1,0,0,0
2,MIN,West,82,50,32,3,103,280,254,26,1,0,0,0,0
2,TOR,East,82,47,35,9,103,263,264,-1,1,1,1,0,0
2,VGK,West,82,47,35,7,101,274,249,25,1,0,0,0,0
2,LAK,West,82,47,35,5,99,271,237,34,1,0,0,0,0
2,COL,West,82,46,36,7,99,300,260,40,1,1,1,0,0
2,DAL,West,82,46,36,7,99,264,238,26,1,1,0,0,0
2,NSH,West,82,44,38,8,96,267,228,39,1,1,1,1,1
2,SEA,West,82,41,41,12,94,273,263,10,1,0,0,0,0
2,TBL,East,82,43,39,7,93,270,250,20,1,1,1,1,0
2,PHI,East,82,43,39,7,93,252,250,2,1,1,0,0,0
2,FLA,East,82,42,40,9,93,261,247,14,1,1,0,0,0
2,UTA,West,82,43,39,6,92,266,287,-21,0,0,0,0,0
2,PIT,East,82,45,37,1,91,280,258,22,1,0,0,0,0
2,BOS,East,82,44,38,3,91,282,267,15,1,0,0,0,0
2,WPG,West,82,41,41,9,91,271,277,-6,0,0,0,0,0
2,SJS,West,82,43,39,4,90,240,248,-8,0,0,0,0,0
2,ANA,West,82,39,43,12,90,261,259,2,0,0,0,0,0
2,VAN,West,82,40,42,9,89,238,264,-26,0,0,0,0,0
2,WSH,East,82,38,44,10,86,212,260,-48,1,0,0,0,0
2,DET,East,82,36,46,13,85,239,243,-4,1,0,0,0,0
2,NJD,East,82,40,42,4,84,251,262,-11,0,0,0,0,0
2,OTT,East,82,37,45,10,84,270,266,4,0,0,0,0,0
2,STL,West,82,39,43,5,83,260,269,-9,0,0,0,0,0
2,MTL,East,82,39,43,2,80,245,271,-26,0,0,0,0,0
2,NYI,East,82,35,47,10,80,255,279,-24,0,0,0,0,0
2,CGY,West,82,35,47,10,80,237,239,-2,0,0,0,0,0
2,CBJ,East,82,37,45,4,78,262,277,-15,0,0,0,0,0
2,CAR,East,82,34,48,10,78,265,279,-14,0,0,0,0,0
2,NYR,East,82,36,46,5,77,230,254,-24,0,0,0,0,0
2,CHI,West,82,33,49,9,75,209,260,-51,0,0,0,0,0
2,BUF,East,82,31,51,13,75,258,295,-37,0,0,0,0,0
3,COL,West,82,58,24,3,119,318,247,71,1,1,1,1,0
3,CAR,East,82,50,32,6,106,300,276,24,1,1,1,0,0
3,PIT,East,82,49,33,6,104,285,258,27,1,0,0,0,0
3,OTT,East,82,48,34,3,99,271,253,18,1,0,0,0,0
3,UTA,West,82,46,36,7,99,284,252,32,1,1,1,0,0
3,LAK,West,82,47,35,4,98,288,260,28,1,1,0,0,0
3,NYR,East,82,47,35,4,98,268,232,36,1,1,1,1,1
3,WPG,West,82,45,37,8,98,280,262,18,1,0,0,0,0
3,NJD,East,82,46,36,2,94,260,244,16,1,0,0,0,0
3,CBJ,East,82,44,38,6,94,269,265,4,1,1,0,0,0
3,VGK,West,82,45,37,3,93,288,266,22,1,1,0,0,0
3,FLA,East,82,43,39,7,93,276,262,14,1,1,0,0,0
3,SJS,West,82,42,40,9,93,254,252,2,1,0,0,0,0
3,TBL,East,82,44,38,3,91,285,273,12,1,0,0,0,0
3,CGY,West,82,42,40,6,90,288,272,16,1,0,0,0,0
3,NSH,West,82,43,39,3,89,286,283,3,1,0,0,0,0
3,MTL,East,82,41,41,6,88,247,239,8,0,0,0,0,0
3,TOR,East,82,42,40,3,87,254,243,11,0,0,0,0,0
3,DET,East,82,39,43,9,87,270,282,-12,0,0,0,0,0
3,ANA,West,82,37,45,11,85,249,248,1,0,0,0,0,0
3,MIN,West,82,36,46,12,84,287,282,5,0,0,0,0,0
3,STL,West,82,39,43,4,82,255,284,-29,0,0,0,0,0
3,EDM,West,82,38,44,6,82,271,291,-20,0,0,0,0,0
3,SEA,West,82,36,46,8,80,237,259,-22,0,0,0,0,0
3,BUF,East,82,37,45,5,79,260,278,-18,0,0,0,0,0
3,VAN,West,82,32,50,13,77,266,280,-14,0,0,0,0,0
3,DAL,West,82,37,45,2,76,253,283,-30,0,0,0,0,0
3,BOS,East,82,34,48,7,75,250,285,-35,0,0,0,0,0
3,PHI,East,82,33,49,8,74,240,271,-31,0,0,0,0,0
3,CHI,West,82,32,50,7,71,239,280,-41,0,0,0,0,0
3,NYI,East,82,31,51,7,69,225,264,-39,0,0,0,0,0
3,WSH,East,82,29,53,11,69,202,279,-77,0,0,0,0,0
4,CBJ,East,82,52,30,4,108,268,239,29,1,0,0,0,0
4,DAL,West,82,50,32,7,107,282,230,52,1,1,0,0,0
4,OTT,East,82,49,33,6,104,280,226,54,1,1,0,0,0
4,TBL,East,82,47,35,6,100,268,261,7,1,1,0,0,0
4,ANA,West,82,47,35,6,100,266,260,6,1,1,0,0,0
4,COL,West,82,46,36,8,100,295,267,28,1,0,0,0,0
4,MTL,East,82,46,36,6,98,245,229,16,1,1,1,0,0
4,TOR,East,82,46,36,6,98,243,232,11,1,0,0,0,0
4,NYR,East,82,44,38,9,97,241,248,-7,1,0,0,0,0
4,FLA,East,82,45,37,5,95,247,246,1,1,0,0,0,0
4,STL,West,82,44,38,7,95,267,244,23,1,1,1,1,1
4,EDM,West,82,44,38,6,94,297,283,14,1,0,0,0,0
4,SJS,West,82,43,39,7,93,257,235,22,1,1,1,0,0
4,VGK,West,82,44,38,4,92,291,273,18,1,0,0,0,0
4,PHI,East,82,44,38,4,92,264,237,27,1,1,1,1,0
4,PIT,East,82,42,40,6,90,273,290,-17,0,0,0,0,0
4,CAR,East,82,43,39,2,88,290,292,-2,0,0,0,0,0
4,BOS,East,82,42,40,4,88,268,270,-2,0,0,0,0,0
4,WPG,West,82,41,41,6,88,242,247,-5,1,0,0,0,0
4,UTA,West,82,40,42,8,88,244,236,8,0,0,0,0,0
4,NSH,West,82,41,41,5,87,265,264,1,0,0,0,0,0
4,WSH,East,82,39,43,9,87,250,256,-6,0,0,0,0,0
4,MIN,West,82,38,44,9,85,268,271,-3,0,0,0,0,0
4,NJD,East,82,36,46,10,82,271,254,17,0,0,0,0,0
4,LAK,West,82,36,46,9,81,268,281,-13,0,0,0,0,0
4,SEA,West,82,36,46,7,79,232,259,-27,0,0,0,0,0
4,NYI,East,82,35,47,8,78,238,254,-16,0,0,0,0,0
4,VAN,West,82,34,48,6,74,226,274,-48,0,0,0,0,0
4,CGY,West,82,33,49,8,74,253,276,-23,0,0,0,0,0
4,BUF,East,82,31,51,9,71,224,250,-26,0,0,0,0,0
4,DET,East,82,29,53,11,69,208,271,-63,0,0,0,0,0
4,CHI,West,82,25,57,12,62,177,253,-76,0,0,0,0,0
5,COL,West,82,53,29,2,108,302,235,67,1,1,1,1,1
5,WPG,West,82,50,32,4,104,241,221,20,1,1,0,0,0
5,NYI,East,82,48,34,6,102,297,275,22,1,0,0,0,0
5,BOS,East,82,47,35,8,102,277,244,33,1,1,0,0,0
5,NYR,East,82,48,34,4,100,266,228,38,1,0,0,0,0
5,VGK,West,82,47,35,6,100,270,237,33,1,1,1,0,0
5,STL,West,82,47,35,3,97,253,242,11,1,1,0,0,0
5,EDM,West,82,45,37,3,93,249,242,7,1,0,0,0,0
5,PIT,East,82,42,40,9,93,271,244,27,1,1,1,1,0
5,CGY,West,82,41,41,11,93,254,251,3,1,0,0,0,0
5,TOR,East,82,44,38,4,92,272,238,34,1,0,0,0,0
5,NJD,East,82,42,40,8,92,262,254,8,1,1,0,0,0
5,UTA,West,82,44,38,3,91,269,247,22,1,0,0,0,0
5,OTT,East,82,43,39,5,91,268,275,-7,1,0,0,0,0
5,CAR,East,82,42,40,5,89,282,291,-9,1,1,1,0,0
5,DET,East,82,40,42,9,89,242,241,1,0,0,0,0,0
5,CBJ,East,82,39,43,11,89,260,264,-4,0,0,0,0,0
5,CHI,West,82,39,43,11,89,227,220,7,1,0,0,0,0
5,SJS,West,82,41,41,4,86,257,266,-9,0,0,0,0,0
5,TBL,East,82,42,40,1,85,250,270,-20,0,0,0,0,0
5,MIN,West,82,41,41,3,85,244,255,-11,0,0,0,0,0
5,SEA,West,82,38,44,9,85,240,261,-21,0,0,0,0,0
5,WSH,East,82,37,45,11,85,258,244,14,0,0,0,0,0
5,DAL,West,82,38,44,7,83,263,279,-16,0,0,0,0,0
5,MTL,East,82,38,44,7,83,257,267,-10,0,0,0,0,0
5,PHI,East,82,38,44,6,82,246,251,-5,0,0,0,0,0
5,NSH,West,82,38,44,6,82,230,258,-28,0,0,0,0,0
5,LAK,West,82,35,47,11,81,251,265,-14,0,0,0,0,0
5,FLA,East,82,36,46,5,77,229,273,-44,0,0,0,0,0
5,ANA,West,82,32,50,7,71,241,265,-24,0,0,0,0,0
5,VAN,West,82,29,53,9,67,206,271,-65,0,0,0,0,0
5,BUF,East,82,28,54,6,62,223,283,-60,0,0,0,0,0
6,STL,West,82,54,28,5,113,300,254,46,1,1,0,0,0
6,CAR,East,82,54,28,4,112,320,248,72,1,0,0,0,0
6,EDM,West,82,51,31,5,107,302,253,49,1,1,0,0,0
6,OTT,East,82,49,33,5,103,278,235,43,1,1,1,0,0
6,VGK,West,82,49,33,4,102,315,261,54,1,1,1,1,0
6,TBL,East,82,47,35,5,99,286,249,37,1,0,0,0,0
6,UTA,West,82,47,35,3,97,292,258,34,1,1,1,0,0
6,PIT,East,82,46,36,5,97,288,259,29,1,1,1,1,1
6,BUF,East,82,45,37,6,96,267,246,21,1,0,0,0,0
6,SEA,West,82,42,40,11,95,269,255,14,1,0,0,0,0
6,BOS,East,82,43,39,8,94,249,231,18,1,1,0,0,0
6,COL,West,82,46,36,1,93,264,272,-8,1,0,0,0,0
6,SJS,West,82,43,39,7,93,248,257,-9,1,0,0,0,0
6,DET,East,82,43,39,6,92,263,251,12,1,0,0,0,0
6,NJD,East,82,39,43,14,92,261,258,3,1,1,0,0,0
6,LAK,West,82,42,40,4,88,269,276,-7,1,0,0,0,0
6,NYI,East,82,40,42,8,88,266,265,1,0,0,0,0,0
6,VAN,West,82,41,41,5,87,241,270,-29,0,0,0,0,0
6,MIN,West,82,40,42,7,87,282,270,12,0,0,0,0,0
6,NYR,East,82,40,42,6,86,247,258,-11,0,0,0,0,0
6,MTL,East,82,37,45,8,82,244,261,-17,0,0,0,0,0
6,WSH,East,82,36,46,9,81,243,255,-12,0,0,0,0,0
6,PHI,East,82,36,46,9,81,231,242,-11,0,0,0,0,0
6,TOR,East,82,35,47,8,78,257,275,-18,0,0,0,0,0
6,NSH,West,82,36,46,5,77,243,262,-19,0,0,0,0,0
6,WPG,West,82,35,47,7,77,223,268,-45,0,0,0,0,0
6,FLA,East,82,35,47,5,75,241,279,-38,0,0,0,0,0
6,CBJ,East,82,35,47,5,75,213,248,-35,0,0,0,0,0
6,ANA,West,82,34,48,7,75,235,278,-43,0,0,0,0,0
6,DAL,West,82,33,49,7,73,250,278,-28,0,0,0,0,0
6,CGY,West,82,31,51,8,70,233,298,-65,0,0,0,0,0
6,CHI,West,82,28,54,12,68,201,251,-50,0,0,0,0,0
7,UTA,West,82,50,32,5,105,237,213,24,1,0,0,0,0
7,COL,West,82,50,32,4,104,311,247,64,1,1,1,1,0
7,CGY,West,82,47,35,8,102,269,222,47,1,1,0,0,0
7,NYR,East,82,49,33,3,101,250,235,15,1,1,1,1,1
7,OTT,East,82,48,34,5,101,282,238,44,1,0,0,0,0
7,CBJ,East,82,46,36,8,100,270,251,19,1,1,1,0,0
7,VGK,West,82,46,36,6,98,287,244,43,1,0,0,0,0
7,BOS,East,82,45,37,6,96,287,256,31,1,1,0,0,0
7,DAL,West,82,44,38,5,93,271,264,7,1,1,1,0,0
7,NJD,East,82,41,41,10,92,262,225,37,1,0,0,0,0
7,PHI,East,82,42,40,7,91,262,256,6,1,0,0,0,0
7,LAK,West,82,41,41,6,88,279,279,0,1,0,0,0,0
7,TBL,East,82,41,41,4,86,261,269,-8,1,1,0,0,0
7,NYI,East,82,41,41,4,86,258,260,-2,1,0,0,0,0
7,CHI,West,82,41,41,4,86,225,246,-21,1,0,0,0,0
7,FLA,East,82,41,41,3,85,260,277,-17,0,0,0,0,0
7,SEA,West,82,40,42,5,85,263,264,-1,1,1,0,0,0
7,SJS,West,82,39,43,7,85,233,264,-31,0,0,0,0,0
7,NSH,West,82,40,42,4,84,242,246,-4,0,0,0,0,0
7,ANA,West,82,39,43,6,84,263,278,-15,0,0,0,0,0
7,EDM,West,82,39,43,6,84,246,254,-8,0,0,0,0,0
7,TOR,East,82,38,44,8,84,238,239,-1,0,0,0,0,0
7,WSH,East,82,37,45,10,84,265,262,3,0,0,0,0,0
7,MIN,West,82,39,43,5,83,246,269,-23,0,0,0,0,0
7,CAR,East,82,40,42,2,82,269,272,-3,0,0,0,0,0
7,WPG,West,82,38,44,6,82,244,270,-26,0,0,0,0,0
7,STL,West,82,37,45,8,82,240,275,-35,0,0,0,0,0
7,MTL,East,82,37,45,7,81,237,266,-29,0,0,0,0,0
7,BUF,East,82,36,46,9,81,264,269,-5,0,0,0,0,0
7,PIT,East,82,37,45,5,79,245,280,-35,0,0,0,0,0
7,DET,East,82,32,50,7,71,225,267,-42,0,0,0,0,0
7,VAN,West,82,31,51,9,71,226,260,-34,0,0,0,0,0
8,CAR,East,82,51,31,7,109,296,236,60,1,1,0,0,0
8,UTA,West,82,52,30,4,108,278,243,35,1,0,0,0,0
8,COL,West,82,51,31,5,107,312,254,58,1,1,1,1,1
8,CGY,West,82,47,35,7,101,264,253,11,1,0,0,0,0
8,PIT,East,82,48,34,4,100,297,255,42,1,1,1,1,0
8,NJD,East,82,47,35,4,98,251,247,4,1,0,0,0,0
8,CBJ,East,82,46,36,4,96,275,261,14,1,0,0,0,0
8,ANA,West,82,44,38,6,94,238,247,-9,1,1,0,0,0
8,OTT,East,82,45,37,3,93,257,255,2,1,1,0,0,0
8,LAK,West,82,44,38,5,93,288,266,22,1,0,0,0,0
8,BOS,East,82,42,40,9,93,270,242,28,1,1,1,0,0
8,TBL,East,82,43,39,6,92,273,259,14,1,0,0,0,0
8,EDM,West,82,42,40,8,92,293,260,33,1,1,1,0,0
8,NSH,West,82,42,40,8,92,281,280,1,1,0,0,0,0
8,STL,West,82,42,40,8,92,275,258,17,1,1,0,0,0
8,VGK,West,82,42,40,4,88,277,266,11,0,0,0,0,0
8,SJS,West,82,41,41,6,88,247,252,-5,0,0,0,0,0
8,DAL,West,82,40,42,8,88,278,279,-1,0,0,0,0,0
8,WSH,East,82,38,44,12,88,243,266,-23,1,0,0,0,0
8,DET,East,82,39,43,8,86,244,261,-17,0,0,0,0,0
8,PHI,East,82,41,41,3,85,257,276,-19,0,0,0,0,0
8,FLA,East,82,39,43,7,85,236,245,-9,0,0,0,0,0
8,NYR,East,82,39,43,6,84,248,271,-23,0,0,0,0,0
8,MTL,East,82,37,45,9,83,247,255,-8,0,0,0,0,0
8,TOR,East,82,36,46,9,81,237,264,-27,0,0,0,0,0
8,MIN,West,82,37,45,6,80,256,274,-18,0,0,0,0,0
8,WPG,West,82,36,46,8,80,249,256,-7,0,0,0,0,0
8,BUF,East,82,34,48,11,79,259,263,-4,0,0,0,0,0
8,NYI,East,82,35,47,8,78,239,259,-20,0,0,0,0,0
8,SEA,West,82,34,48,9,77,245,246,-1,0,0,0,0,0
8,VAN,West,82,30,52,7,67,212,300,-88,0,0,0,0,0
8,CHI,West,82,28,54,7,63,214,287,-73,0,0,0,0,0
9,FLA,East,82,51,31,6,108,283,244,39,1,0,0,0,0
9,COL,West,82,49,33,6,104,310,267,43,1,1,1,1,1
9,OTT,East,82,47,35,9,103,266,240,26,1,1,1,1,0
9,SJS,West,82,44,38,13,101,280,269,11,1,1,0,0,0
9,EDM,West,82,47,35,6,100,297,248,49,1,0,0,0,0
9,CAR,East,82,46,36,6,98,320,285,35,1,0,0,0,0
9,UTA,West,82,44,38,10,98,286,264,22,1,1,1,0,0
9,WPG,West,82,44,38,8,96,294,279,15,1,0,0,0,0
9,MTL,East,82,43,39,10,96,270,272,-2,1,1,1,0,0
9,DAL,West,82,43,39,10,96,267,244,23,1,1,0,0,0
9,TBL,East,82,44,38,7,95,277,266,11,1,0,0,0,0
