sim,seasonstage,pid,name,team,position,goals,a1,a2,points
1,regular,8473419,Brad Marchand,FLA,F,37,11,19,67
1,regular,8484144,Connor Bedard,CHI,F,27,26,11,64
1,regular,8485391,Anton Frondell,CHI,F,2,7,1,10
1,regular,8484185,Nick Lardis,CHI,F,24,5,4,33
1,regular,8477839,Conor Sheary,NYR,F,10,5,10,25
1,regular,8484210,Gabe Perreault,NYR,F,20,26,2,48
1,regular,8481481,Blake Lizotte,PIT,F,4,5,12,21
1,regular,8478438,Thomas Novak,PIT,F,11,9,5,25
1,regular,8471675,Sidney Crosby,PIT,F,21,30,15,66
1,regular,8482475,Egor Chinakhov,PIT,F,30,11,15,56
1,regular,8471724,Kris Letang,PIT,D,2,10,14,26
1,regular,8477960,Adrian Kempe,LAK,F,54,19,14,87
1,regular,8478550,Artemi Panarin,LAK,F,34,37,25,96
1,regular,8482124,Quinton Byfield,LAK,F,44,10,8,62
1,regular,8479998,Mikey Anderson,LAK,D,2,15,12,29
1,regular,8482155,Alex Laferriere,LAK,F,32,16,6,54
1,regular,8475208,Brian Dumoulin,LAK,D,3,2,11,16
1,regular,8474563,Drew Doughty,LAK,D,6,5,10,21
1,regular,8476879,Cody Ceci,LAK,D,1,4,5,10
1,regular,8483756,Jared Wright,LAK,F,1,6,8,15
1,regular,8482730,Brandt Clarke,LAK,D,2,35,10,47
1,regular,8480448,Parker Kelly,COL,F,22,6,7,35
1,regular,8477476,Artturi Lehkonen,COL,F,29,8,5,42
1,regular,8475754,Brock Nelson,COL,F,32,21,10,63
1,regular,8480039,Martin Necas,COL,F,40,24,20,84
1,regular,8476312,Josh Manson,COL,D,7,25,12,44
1,regular,8480069,Cale Makar,COL,D,28,24,30,82
1,regular,8477492,Nathan MacKinnon,COL,F,34,54,12,100
1,regular,8475172,Nazem Kadri,COL,F,15,16,8,39
1,regular,8476455,Gabriel Landeskog,COL,F,29,9,10,48
1,regular,8478462,Nicolas Roy,COL,F,12,10,5,27
1,regular,8479318,Auston Matthews,TOR,F,43,25,11,79
1,regular,8475171,Oliver Ekman-Larsson,TOR,D,2,6,33,41
1,regular,8477939,William Nylander,TOR,F,32,37,9,78
1,regular,8482720,Matthew Knies,TOR,F,16,15,15,46
1,regular,8475690,Chris Tanev,TOR,D,1,5,2,8
1,regular,8476853,Morgan Rielly,TOR,D,15,6,7,28
1,regular,8478178,Darren Raddysh,TBL,D,26,25,24,75
1,regular,8481540,Cole Caufield,MTL,F,51,15,10,76
1,regular,8480813,Joseph Veleno,MTL,F,3,3,5,11
1,regular,8481580,Connor McMichael,WSH,F,22,14,18,54
1,regular,8477845,Trevor van Riemsdyk,WSH,D,10,6,9,25
1,regular,8479345,Jakob Chychrun,WSH,D,24,14,25,63
1,regular,8481656,Aliaksei Protas,WSH,F,24,31,4,59
1,regular,8484186,Ryan Leonard,WSH,F,27,16,7,50
1,regular,8478463,Anthony Beauvillier,WSH,F,13,9,5,27
1,regular,8482088,Justin Sourdif,WSH,F,28,11,13,52
1,regular,8483491,Ivan Miroshnichenko,WSH,F,5,10,10,25
1,regular,8482177,Marat Khusnutdinov,BOS,F,11,4,10,25
1,regular,8478401,Pavel Zacha,BOS,F,36,10,12,58
1,regular,8477507,Nikita Zadorov,BOS,D,2,5,5,12
1,regular,8479325,Charlie McAvoy,BOS,D,28,35,15,78
1,regular,8477956,David Pastrnak,BOS,F,28,63,9,100
1,regular,8482511,Mason Lohrei,BOS,D,12,9,7,28
1,regular,8477496,Elias Lindholm,BOS,F,27,12,14,53
1,regular,8477934,Leon Draisaitl,EDM,F,51,41,23,115
1,regular,8478402,Connor McDavid,EDM,F,43,36,24,103
1,regular,8475786,Zach Hyman,EDM,F,38,21,6,65
1,regular,8476454,Ryan Nugent-Hopkins,EDM,F,25,10,4,39
1,regular,8480797,Joel Farabee,CGY,F,21,10,6,37
1,regular,8476456,Jonathan Huberdeau,CGY,F,14,17,11,42
1,regular,8482679,Matt Coronato,CGY,F,20,14,6,40
1,regular,8481068,Yegor Sharangovich,CGY,F,15,16,8,39
1,regular,8482165,Yan Kuznetsov,CGY,D,8,5,6,19
1,regular,8476399,Blake Coleman,CGY,F,30,10,4,44
1,regular,8481028,Martin Pospisil,CGY,F,3,7,4,14
1,regular,8479353,Brett Howden,VGK,F,17,12,8,37
1,regular,8475188,Brayden McNabb,VGK,D,6,6,8,20
1,regular,8483890,Braeden Bowman,VGK,F,6,17,12,35
1,regular,8478397,Rasmus Andersson,VGK,D,19,19,2,40
1,regular,8477964,Ivan Barbashev,VGK,F,25,28,14,67
1,regular,8478483,Mitch Marner,VGK,F,24,23,3,50
1,regular,8477447,Shea Theodore,VGK,D,15,6,15,36
1,regular,8475913,Mark Stone,VGK,F,29,21,6,56
1,regular,8476881,Tomas Hertl,VGK,F,4,9,4,17
1,regular,8477942,Kevin Fiala,LAK,F,23,18,7,48
1,regular,8479661,Tanner Jeannot,BOS,F,2,10,0,12
1,regular,8480035,Henri Jokiharju,BOS,D,4,17,14,35
1,regular,8480355,Mark Kastelic,BOS,F,8,3,4,15
1,regular,8477444,Andre Burakovsky,CHI,F,8,9,9,26
1,regular,8480802,Ryan McLeod,BUF,F,11,41,11,63
1,regular,8479420,Tage Thompson,BUF,F,33,20,10,63
1,regular,8480064,Josh Norris,BUF,F,22,15,9,46
1,regular,8481522,Peyton Krebs,BUF,F,3,22,7,32
1,regular,8482097,Jack Quinn,BUF,F,21,12,11,44
1,regular,8482073,Braden Schneider,NYR,D,1,18,6,25
1,regular,8481789,Tye Kartye,NYR,F,16,18,7,41
1,regular,8476389,Vincent Trocheck,NYR,F,19,18,19,56
1,regular,8479323,Adam Fox,NYR,D,5,29,41,75
1,regular,8482078,Lucas Raymond,DET,F,29,20,9,58
1,regular,8475279,Ben Chiarot,DET,D,6,2,18,26
1,regular,8479337,Alex DeBrincat,DET,F,45,18,16,79
1,regular,8481542,Moritz Seider,DET,D,6,40,17,63
1,regular,8482762,Simon Edvinsson,DET,D,8,13,11,32
1,regular,8484984,Ivan Demidov,MTL,F,14,17,8,39
1,regular,8480074,Alexandre Texier,MTL,F,21,11,11,43
1,regular,8480865,Noah Dobson,MTL,D,12,9,10,31
1,regular,8483515,Juraj Slafkovský,MTL,F,26,17,12,55
1,regular,8470621,Corey Perry,TBL,F,7,14,4,25
1,regular,8476453,Nikita Kucherov,TBL,F,46,46,20,112
1,regular,8481596,Shane Pinto,OTT,F,20,26,10,56
1,regular,8483676,Stephen Halliday,OTT,F,8,10,4,22
1,regular,8481606,Jordan Spence,OTT,D,12,9,13,34
1,regular,8482105,Jake Sanderson,OTT,D,9,23,28,60
1,regular,8477998,Warren Foegele,OTT,F,29,5,7,41
1,regular,8480208,Drake Batherson,OTT,F,39,14,19,72
1,regular,8478439,Travis Konecny,PHI,F,25,24,22,71
1,regular,8481546,Cam York,PHI,D,3,8,7,18
1,regular,8482142,Jamie Drysdale,PHI,D,8,8,17,33
1,regular,8480015,Owen Tippett,PHI,F,41,7,13,61
1,regular,8484387,Matvei Michkov,PHI,F,24,28,10,62
1,regular,8477989,Christian Dvorak,PHI,F,20,24,5,49
1,regular,8481533,Trevor Zegras,PHI,F,26,28,5,59
1,regular,8484142,Denver Barkey,PHI,F,9,15,7,31
1,regular,8477948,Travis Sanheim,PHI,D,15,21,12,48
1,regular,8482159,Tyson Foerster,PHI,F,44,13,9,66
1,regular,8477511,Anthony Mantha,PIT,F,31,16,6,53
1,regular,8478854,Ryan Shea,PIT,D,8,20,5,33
1,regular,8474578,Erik Karlsson,PIT,D,11,26,27,64
1,regular,8478569,Noel Acciari,PIT,F,23,5,2,30
1,regular,8475810,Bryan Rust,PIT,F,23,13,15,51
1,regular,8480980,Connor Dewar,PIT,F,11,6,6,23
1,regular,8481725,Elmer Soderblom,PIT,F,13,7,1,21
1,regular,8475170,Brayden Schenn,NYI,F,31,16,13,60
