,gf,ga,xgf,xga
20212022,3.109642857142857,3.109642857142857,2.9849240083891035,2.9849240083891035
20222023,3.1422444603288064,3.1422444603288064,2.8786438002785686,2.8786438002785686
20232024,3.067857142857143,3.067857142857143,3.094119245412425,3.094119245412425
20242025,3.0168097281831185,3.0168097281831185,3.153051788128259,3.153051788128259
20252026,3.0724063400576367,3.0724063400576367,3.0891277811218085,3.0891277811218085
all,3.081818181818182,3.081818181818182,3.03987959798314,3.03987959798314
