PlayerID,Position,Game_No,Age,Rookie,EVO,EVD,PP,SH,GSAx
8473419,F,23,-0.025453854989320252,0.0,0.03678322335891804,-0.011599150397486463,0.0074775291713133525,0.0014807134945044231,0.0
8473422,F,16,-0.02473505675415205,0.0,-0.008584185507268794,0.00900950081276966,0.0010245583298065697,-0.0018870494086111107,0.0
8473507,D,24,0.0,0.0,0.00041856999233729365,-0.012656529967790063,-3.0316093560532e-05,0.0008846405195688917,0.0
8475179,D,3,0.0,0.0,-0.01620596935632308,-0.0004059722161204479,-0.0003770044408955104,-5.7669637375058216e-05,0.0
8475683,G,18,-0.05253327066603617,0.0,0.0,0.0,0.0,0.0,-0.044969632224546675
8476473,D,24,0.0,0.0,-0.003846450297238347,0.0328611375412089,-0.00053659101009421,-0.00043488990883196643,0.0
8476882,F,24,-0.006200577279575645,0.0,-0.027878956963372822,0.012749302126813057,0.014731039865618429,-0.0010044016781825254,0.0
8476891,D,24,0.0,0.0,-0.007597961125119835,-0.008080045196192598,0.00010024879002670014,0.0008305759321313095,0.0
8477409,F,24,-0.003860530149925446,0.0,0.06240413582434708,-0.008645079440483167,0.014492130102607668,8.249701168749741e-05,0.0
8477444,F,19,-0.003831304032663795,0.0,-0.01006942352608852,-0.028224481813894007,0.005577858479666065,0.0001977545199030289,0.0
8477450,F,11,-0.003862734042769617,0.0,-0.04184537838912197,0.04387715547207176,-0.00139449372475474,-0.001951198082671386,0.0
8477479,F,21,-0.004768833425315906,0.0,0.008625553237658977,-0.025772178917415855,0.018814980993510665,-6.391492649358511e-06,0.0
8477495,D,24,0.0,0.0,0.008341890200423814,-0.0064100355378803875,0.009135278410774824,0.003556141433471434,0.0
8477932,D,23,0.0,0.0,0.021599892026861627,-0.0016696706670017304,-0.001425041875368641,0.000977542858809308,0.0
8477933,F,24,-0.0036353909836941635,0.0,0.028917678660432163,0.052005884970606174,0.017344320099693465,0.006837157324404056,0.0
8477935,F,24,-0.001153516320099477,0.0,0.04791488683360388,-0.014473876514111111,-0.0012592994355109409,-0.0004022846373011263,0.0
8477987,F,24,-0.0015739533771911816,0.0,0.022985083078146944,-0.006533207930630712,-0.0042075922438772565,-0.00010468567207360912,0.0
8478043,F,11,-0.003288498590176449,0.0,-0.0789671561210333,5.529743974450139e-05,-0.002115561495120466,0.0005538341995506802,0.0
8478055,D,24,0.0,0.0,0.04678705770996568,0.02841172680261348,-0.002272856705926307,0.0003844485378451406,0.0
8478421,F,24,6.189867502708666e-05,0.0,-0.019987802913067475,0.017411785678302767,-0.00042784536285039816,0.0006308856367947766,0.0
8478542,F,24,-0.008874519721104519,0.0,0.008042019390552612,0.009982666293829186,-0.0033499461872969595,0.0014223068193229525,0.0
8478859,D,24,0.0,0.0,-0.008361069919303053,0.017122621449384118,-0.0006540865411802549,0.004035226269631905,0.0
8479316,F,19,0.002450357804745232,0.0,-0.06473531154180058,-0.03429003757235363,-0.0027829682076684257,-0.0019343093628293585,0.0
8479981,F,11,0.0014471460960493996,0.0,-0.019610180241711735,0.0013736171655241646,-0.0004787564791773713,-3.896893323006705e-05,0.0
8480003,F,24,0.0034746133511407216,0.0,-0.026878809168103715,0.0075815783714268305,-0.0029679544986335312,0.0005040635948900993,0.0
8480185,F,19,0.005086134621419025,0.0,-0.022012611209867684,0.030968984432021337,-0.005877910716395663,-0.0009305631330928626,0.0
8481519,G,17,0.016147402984529,0.0,0.0,0.0,0.0,0.0,0.05477536668051641
8481624,F,22,-0.005275612146372317,0.0,-0.00837575173246379,0.030596038033844773,-0.00664764688782395,-0.0002766185726754023,0.0
8482113,F,24,0.013050709722001846,0.0,0.009538110490685953,0.0176369503524282,-0.0007638599699362576,0.002946635901459883,0.0
8482176,D,24,0.0,0.0,-0.003571245839321271,0.02296254900427442,0.00031029252313362425,-0.0012764209997398646,0.0
8482703,F,24,0.0021031602270883145,0.0,-0.013050555382332966,-0.0015801228815502649,-0.001431036092191001,-1.4577577686401368e-05,0.0
8482713,F,24,0.006018081059492815,0.0,-0.0014755579667748587,0.004749851926028562,0.002432119370487554,7.049330280720964e-05,0.0
8482807,D,2,0.0,0.0,-0.013244943483683904,0.013118060878832698,-5.574428062321695e-05,0.00015746446602744153,0.0
8483450,F,24,0.0,-0.0203578082775,-0.0033689528667414357,-0.003746926622437085,-0.001562143331940719,-0.0007182101041483117,0.0
8483493,F,22,0.006110411010221748,0.0,-0.0025020933304267475,-0.01832194543547102,-0.000944014263245942,-0.0011519592245640112,0.0
8483506,D,23,0.0,-0.026526706685,0.0012501721921159604,-0.007093268504566978,-0.002080670769599074,-0.00014205040215420518,0.0
8484144,F,24,0.023042299681833175,0.0,0.008507177822983837,-0.055812301036569784,0.0191637510390071,0.0003123893735994766,0.0
8484783,D,23,0.0,-0.026526706685,-0.0016650439497773485,-0.002357173392604116,0.007500641062207882,-0.0005891620092477352,0.0
8471215,F,23,-0.030398762835239932,0.0,0.006489169612603817,-0.01951375430092586,0.012374587840499046,3.1197090365911036e-05,0.0
8471675,F,23,-0.03247206714298876,0.0,0.08885804363088391,-0.03355746473716796,0.011000416207876621,-2.2065279500931324e-05,0.0
8471724,D,23,0.0,0.0,0.0025136063438636162,-0.016817019302284297,0.0004077465157951892,0.0004950894215140721,0.0
8474578,D,23,0.0,0.0,0.06296588579334676,-0.037498131789191036,0.005965088022974532,0.00040177387572378214,0.0
8475842,F,26,-0.009172851436764648,0.0,-0.05284003507272765,0.017608881013403858,-0.0008319980314584946,0.0014379107716030013,0.0
