Category;Metric;Calculation;Name;Default;Place;Card;Link;strengthCode;positionCode
Play Driving;xG+/-;xGF-xGA;xG Differential;0;0;Skaters;;;
Play Driving;RAPM C+/-;;RAPM C+/-;0;0;Skaters;;;
Play Driving;RAPM G+/-;;RAPM G+/-;0;0;Skaters;;;
Play Driving;RAPM xG+/-;;RAPM xG+/-;0;0;Skaters;;;
Context;Sh%;GF/SF;On-Ice Sh%;1;C2;Skaters;;;
Context;Sv%;1-GA/SA;On-Ice Sv%;1;C2;Skaters;;;
Context;PDO;Sh%+Sv%;PDO;1;C2;Skaters;;;
Context;GAx;GF-xGF;On-Ice GAx;0;0;Skaters;;;
Context;GSAx;xGA-GA;On-Ice GSAx;0;0;Skaters;;;
Context;QoT;;Quality of Teammates;0;0;Skaters;;;
Context;QoC;;Quality of Competition;0;0;Skaters;;;
Context;ZS;;Zone Start Difficulty;0;0;Skaters;;;
Shooting;iShots or iFenwick;;Shots or Fenwick;0;0;Skaters;;;
Shooting;ixG;;Individual xG;1;R2;Skaters;;;
Shooting;Sh% or FSh%;;Sh% or FSh%;1;R2;Skaters;;;
Shooting;xSh% or xFSh%;;xSh% or xFSh%;1;R2;Skaters;;;
Shooting;dSh% or dFSh%;;dSh% or dFSh%;1;R2;Skaters;;;
Shooting;GAx;;Goals Scored Above Expected;0;0;Skaters;;;
Penalties;PIM_taken;;PIM taken;0;0;Skaters;;;
Penalties;PIM_drawn;;PIM drawn;0;0;Skaters;;;
Penalties;PIM+/-;;PIM differential;0;0;Skaters;;;
Penalties;PIM_For;;On-Ice PIM For;0;0;Skaters;;;
Penalties;PIM_Against;;On-Ice PIM Against;0;0;Skaters;;;
Penalties;oiPIM+/-;;On-Ice PIM differential;0;0;Skaters;;;
Other;Hits;;Hits;0;0;Skaters;;;
Other;Takeaways;;Takeaways;0;0;Skaters;;;
Other;Giveaways;;Giveaways;0;0;Skaters;;;
Edge;topShotSpeed;;Top Shot Speed;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;avgShotSpeed;;Average Shot Speed;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;shotAttemptsOver100;;Shots over 100 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;shotAttempts90to100;;Shots 90 to 100 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;shotAttempts80to90;;Shots 80 to 90 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;shotAttempts70to80;;Shots 70 to 80 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-shot-speed-detail/8482116/20242025/2;;
Edge;maxSkatingSpeed;;Top Skating Speed;0;0;Skaters;api-web.nhle.com/v1/edge/skater-skating-speed-detail/8482116/20242025/2;;
Edge;burstsOver22;;Speed Bursts over 22 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-skating-speed-detail/8482116/20242025/2;;
Edge;bursts20to22;;Speed Bursts 20 to 22 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-skating-speed-detail/8482116/20242025/2;;
Edge;bursts18to20;;Speed Bursts 18 to 20 MPH;0;0;Skaters;api-web.nhle.com/v1/edge/skater-skating-speed-detail/8482116/20242025/2;;
Edge;offensiveZonePctg;;Offensive Zone Time;0;0;Skaters;api-web.nhle.com/v1/edge/skater-zone-time/8482116/20242025/2;strengthCode;
Edge;neutralZonePctg;;Neutral Zone Time;0;0;Skaters;api-web.nhle.com/v1/edge/skater-zone-time/8482116/20242025/2;strengthCode;
Edge;defensiveZonePctg;;Defensive Zone Time;0;0;Skaters;api-web.nhle.com/v1/edge/skater-zone-time/8482116/20242025/2;strengthCode;
Edge;distanceTotal or distancePer60;;Distance Skated;0;0;Skaters;https://api-web.nhle.com/v1/edge/skater-skating-distance-detail/8482116/20242025/2;strengthCode;
Workload;FA;;Fenwick Against;1;L1;Goalies;;;
Workload;SA;;Shots Against;1;L1;Goalies;;;
Workload;xGA;;xG Against;1;L1;Goalies;;;
Workload;GA;;Goals Against;1;L1;Goalies;;;
Save Percentage;Sv% or FSv%;;Sv% or FSv%;1;C1;Goalies;;;
Save Percentage;xSv% or xFSv%;;xSv% or xFSv%;1;C1;Goalies;;;
Save Percentage;dSv% or dFSv%;;dSv% or dFSv%;1;C1;Goalies;;;
Results;GSAA;(Sv%-Avg.Sv%)*SA;Goals Saved Above Average;1;R1;Goalies;;;
Results;GSAx;;Goals Saved Above Expected;1;R1;Goalies;;;
Defense;CA;;Corsi Against;1;L1;Teams;;;
Defense;FA;;Fenwick Against;0;;Teams;;;
Defense;SA;;Shots Against;0;;Teams;;;
Defense;GA;;Goals Against;1;L1;Teams;;;
Defense;xGA;;xG Against;1;L1;Teams;;;
Offense;CF;;Corsi For;1;L2;Teams;;;
Offense;FF;;Fenwick For;0;;Teams;;;
Offense;SF;;Shots For;0;;Teams;;;
Offense;GF;;Goals For;1;L2;Teams;;;
Offense;xGF;;xG For;1;L2;Teams;;;
Play Driving;CF%;CF/(CF+CA);CF%;1;C1;Teams;;;
Play Driving;FF%;FF/(FF+FA);FF%;0;;Teams;;;
Play Driving;SF%;SF/(SF+SA);SF%;0;;Teams;;;
Play Driving;GF%;GF/(GF+GA);GF%;1;C1;Teams;;;
Play Driving;xGF%;xGF/(xGF+xGA);xGF%;1;C1;Teams;;;
Play Driving;C+/-;CF-CA;Corsi Differential;1;C1;Teams;;;
Play Driving;F+/-;FF-FA;Fenwick Differential;0;;Teams;;;
Play Driving;S+/-;SF-SA;Shot Differential;0;;Teams;;;
Play Driving;G+/-;GF-GA;Goal Differential;1;C1;Teams;;;
Play Driving;xG+/-;xGF-xGA;xG Differential;1;C1;Teams;;;
Context;Sh%;GF/SF;Sh%;1;R1;Teams;;;
Context;Sv%;1-GA/SA;Sv%;1;R1;Teams;;;
Context;PDO;Sh%+Sv%;PDO;1;R1;Teams;;;
Context;GAx;GF-xGF;GAx;1;R1;Teams;;;
Context;GSAx;xGA-GA;GSAx;1;R1;Teams;;;
Context;GDAx;GAx+GSAx;GDAx;1;R1;Teams;;;
Edge;distanceTotal;;Distance Skated Total;0;;Teams;api-web.nhle.com/v1/edge/team-skating-distance-detail/9/20242025/2;strengthCode;positionCode
Edge;distancePer60;;Distance Skated Per 60;0;;Teams;api-web.nhle.com/v1/edge/team-skating-distance-detail/9/20242025/2;strengthCode;positionCode
Edge;maxSkatingSpeed;;Top Skating Speed;0;;Teams;api-web.nhle.com/v1/edge/team-skating-speed-detail/9/20242025/2;;positionCode
Edge;burstsOver22;;Speed Bursts over 22 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-skating-speed-detail/9/20242025/2;;positionCode
Edge;bursts20to22;;Speed Bursts 20 to 22 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-skating-speed-detail/9/20242025/2;;positionCode
Edge;bursts18to20;;Speed Bursts 18 to 20 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-skating-speed-detail/9/20242025/2;;positionCode
Edge;offensiveZonePctg;;Offensive Zone Time;0;;Teams;api-web.nhle.com/v1/edge/team-zone-time-details/9/20242025/2;strengthCode;
Edge;neutralZonePctg;;Neutral Zone Time;0;;Teams;api-web.nhle.com/v1/edge/team-zone-time-details/9/20242025/2;strengthCode;
Edge;defensiveZonePctg;;Defensive Zone Time;0;;Teams;api-web.nhle.com/v1/edge/team-zone-time-details/9/20242025/2;strengthCode;
Edge;topShotSpeed;;Top Shot Speed;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
Edge;avgShotSpeed;;Average Shot Speed;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
Edge;shotAttemptsOver100;;Shots over 100 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
Edge;shotAttempts90to100;;Shots 90 to 100 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
Edge;shotAttempts80to90;;Shots 80 to 90 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
Edge;shotAttempts70to80;;Shots 70 to 80 MPH;0;;Teams;api-web.nhle.com/v1/edge/team-shot-speed-detail/9/20242025/2;;positionCode
