variant_key,variant_label,weighting,window_games,exp_half_life,train_logloss,train_auc,test_logloss,test_auc
recent60,Recent-60,uniform,60,,0.6657599956958646,0.6215067385490919,0.6598547872612055,0.6312386773796519
recent40,Recent-40,uniform,40,,0.6683414055675034,0.6145270681187054,0.6601673804604897,0.6340390811909669
recent50,Recent-50,uniform,50,,0.6671177481262005,0.6180089801638083,0.6608775366015535,0.6301945762055565
recent50_exp_hl10,Recent-50 Exp (half-life 10),exponential,50,10.0,0.6680996635269515,0.6172770505592473,0.6638665268349743,0.6227890639045235
