target_season,source_season,playerid,player_name,position,gp,rookie_factor,preseason_value,poss_value,off_the_puck,gax,goalie_gsax
20232024,20222023,13440,Cale Makar,D,66,0.0,0.2918958699350392,0.39372960124638084,3.5455662522727276,0.05234858783395917,0.0
20232024,20222023,43,Erik Karlsson,D,82,0.0,0.2918920788567454,0.41741867822711154,3.4207246364634147,0.1542310001826905,0.0
20232024,20222023,9284,Quinn Hughes,D,78,0.0,0.263674208703374,0.32894394124339943,3.290264486666667,-0.008564432470638138,0.0
20232024,20222023,8365,Adam Fox,D,89,0.0,0.26187420602416683,0.41803790197492763,3.127126999775281,0.0066914893140667606,0.0
20232024,20222023,441,Roman Josi,D,67,0.0,0.25298817893478837,0.40919790829850744,2.974964696716418,0.04930061376184515,0.0
20232024,20222023,8011,Rasmus Dahlin,D,78,0.0,0.251529738546713,0.316905182027315,3.102284266923077,0.027443686896078637,0.0
20232024,20222023,8177,Thomas Chabot,D,68,0.0,0.24390311146586663,0.3195585185882353,2.989669340588235,0.028280309063762797,0.0
20232024,20222023,2523,Josh Morrissey,D,81,0.0,0.23499154188472013,0.27581144470513236,2.9100130232098764,0.04388981747777326,0.0
20232024,20222023,7966,Miro Heiskanen,D,98,0.0,0.23079520834473746,0.3178265870766064,2.8476847696938776,-0.017775238602367245,0.0
20232024,20222023,1396,Kris Letang,D,64,0.0,0.22998396075040076,0.34172850357223666,2.7564408007812498,0.03381189502351878,0.0
20232024,20222023,1691,Brandon Montour,D,101,0.0,0.21958864775321624,0.23344505171096766,2.7911253000462377,-0.0012345982696466674,0.0
20232024,20222023,1260,John Carlson,D,40,0.024390243902439025,0.21220186273591785,0.24166282238141443,2.6243470853658537,0.03562401656044407,0.0
20232024,20222023,234,Brent Burns,D,97,0.0,0.20783525779094153,0.31438520830609107,2.4492731271278347,0.06823164377614803,0.0
20232024,20222023,12489,Noah Dobson,D,84,0.0,0.20640044215372677,0.2308440812857143,2.5909456829761903,0.017333142027686068,0.0
20232024,20222023,450,Seth Jones,D,72,0.0,0.19707888817233202,0.23158156856923823,2.436243053194444,0.04114125115100076,0.0
20232024,20222023,1375,Morgan Rielly,D,76,0.0,0.19561491598196684,0.2871042102614399,2.4126367394736845,-0.04131442976014141,0.0
20232024,20222023,1097,Rasmus Andersson,D,79,0.0,0.19251188001803973,0.28470127322931293,2.2889616674683544,0.05074845787979199,0.0
20232024,20222023,537,Dougie Hamilton,D,94,0.0,0.19005949099085082,0.16901277219780267,2.381700112340426,0.08768356668804997,0.0
20232024,20222023,8378,Charlie McAvoy,D,74,0.0,0.18837537917261374,0.2984960308311814,2.267629873378378,-0.011934486765263331,0.0
20232024,20222023,542,Torey Krug,D,63,0.0,0.1859833633468612,0.18576019118242185,2.3654940812698415,0.015712598065239766,0.0
20232024,20222023,729,Mike Matheson,D,48,0.0,0.18392994561200285,0.2518134508230713,2.2590497275,-0.00037341759283027187,0.0
20232024,20222023,636,Victor Hedman,D,81,0.0,0.18338375222542996,0.22499095965593296,2.2702823279012345,0.019932013870947268,0.0
20232024,20222023,2395,Vince Dunn,D,95,0.0,0.17974369436460422,0.25283350286590667,2.1551049074736843,0.047487423142516486,0.0
20232024,20222023,9462,Evan Bouchard,D,94,0.0,0.17857762771698485,0.24536385772201522,2.2005905669148937,-0.009789551151891408,0.0
20232024,20222023,2951,Mikhail Sergachev,D,85,0.0,0.17726151201991758,0.22828070899710248,2.164412829882353,0.035972014692721765,0.0
20232024,20222023,363,Tyson Barrie,D,85,0.0,0.17505854705558715,0.17131187128832265,2.215409122117647,0.032591648560072364,0.0
20232024,20222023,2430,Tony DeAngelo,D,70,0.0,0.1727432209970807,0.2680768742571429,2.0824757094285715,-0.005587535203085027,0.0
