variant_key,variant_label,weighting,window_games,exp_half_life,train_logloss,train_auc,test_logloss,test_auc,logloss_gap_test_minus_train,auc_gap_train_minus_test,beats_preseason_test_logloss,beats_preseason_test_auc
preseason_reference,Preseason Reference,prior-season,,,0.6668938317758184,0.6179999862950571,0.6584782713565261,0.6336656940161248,-0.008415560419292256,-0.01566570772106768,False,False
recent60,Recent-60,uniform,60,,0.6657599956958646,0.6215067385490919,0.6598547872612055,0.6312386773796519,-0.005905208434659137,-0.009731938830560005,False,False
recent40,Recent-40,uniform,40,,0.6683414055675034,0.6145270681187054,0.6601673804604897,0.6340390811909669,-0.008174025107013705,-0.01951201307226147,False,True
recent35,Recent-35,uniform,35,,0.6691311631491272,0.6128195178943726,0.6604580958635684,0.6344677849843039,-0.008673067285558833,-0.021648267089931283,False,True
recent45,Recent-45,uniform,45,,0.6677217674575695,0.6160311855974755,0.6605711114339042,0.6314253709670727,-0.007150656023665269,-0.015394185369597246,False,False
recent50,Recent-50,uniform,50,,0.6671177481262005,0.6180089801638083,0.6608775366015535,0.6301945762055565,-0.0062402115246470435,-0.012185596041748181,False,False
recent30,Recent-30,uniform,30,,0.6691588544614868,0.613224241988176,0.6617246172605129,0.6312317628023398,-0.007434237200973914,-0.01800752081416379,False,False
recent50_exp_hl10,Recent-50 Exp (half-life 10),exponential,50,10.0,0.6680996635269515,0.6172770505592473,0.6638665268349743,0.6227890639045235,-0.004233136691977224,-0.005512013345276179,False,False
