feature,coef
diff_is_ev,0.0021038711021288017
diff_is_pp,0.006099541101131296
diff_is_sh,0.0006810627534248274
diff_is_ev_xg,0.1243918266548209
diff_is_goalie_gsaa,0.03195388601288062
